id,name,source,category,lethal_dose_mg_kg,onset_time_minutes,symptoms,antidote,description
botulinum_toxin,Botulinum Toxin,Clostridium botulinum bacteria,biological,0.000001,720,Muscle paralysis|blurred vision|difficulty swallowing|respiratory failure,Antitoxin serum (heptavalent),Most toxic substance known; blocks acetylcholine release at neuromuscular junction
tetrodotoxin,Tetrodotoxin,Pufferfish|blue-ringed octopus,animal,0.01,30,Numbness|paralysis|respiratory failure|death within hours,No specific antidote; ventilatory support,Sodium channel blocker 1200x more toxic than cyanide; found in fugu
ricin,Ricin,Castor bean (Ricinus communis),plant,0.022,360,Nausea|vomiting|internal bleeding|organ failure|death in 36-72 hours,No approved antidote; supportive care,Protein synthesis inhibitor; easily extracted from castor beans; bioweapon concern
abrin,Abrin,Rosary pea (Abrus precatorius),plant,0.04,360,Similar to ricin|vomiting|organ failure|death,No antidote; supportive care,Ribosome-inactivating protein; single seed can kill; bright red and black seed
vx_nerve_agent,VX Nerve Agent,Synthetic organophosphate,chemical,0.04,1,Pinpoint pupils|convulsions|respiratory failure|death in minutes,Atropine + pralidoxime (2-PAM),Most potent nerve agent; persistent oily liquid; inhibits acetylcholinesterase
sarin,Sarin (GB),Synthetic organophosphate,chemical,0.55,0.5,Runny nose|chest tightness|convulsions|respiratory arrest,Atropine + pralidoxime (2-PAM),Volatile nerve agent; used in Tokyo subway attack (1995); rapid onset
soman,Soman (GD),Synthetic organophosphate,chemical,0.4,0.5,Seizures|respiratory failure|loss of consciousness,Atropine + HI-6 oxime,Nerve agent that ages rapidly making treatment difficult after exposure
tabun,Tabun (GA),Synthetic organophosphate,chemical,3.7,1,Miosis|salivation|convulsions|respiratory failure,Atropine + pralidoxime,First nerve agent developed (1936); fruity odor; less potent than sarin
amatoxin,Amatoxin (alpha-amanitin),Death cap mushroom (Amanita phalloides),fungal,0.1,360,Delayed GI symptoms|liver failure|kidney failure|death in 6-16 days,Silibinin (milk thistle extract) + N-acetylcysteine,Responsible for 90% of mushroom poisoning deaths; inhibits RNA polymerase II
muscarine,Muscarine,Inocybe and Clitocybe mushrooms,fungal,0.23,30,Excessive salivation|sweating|tears|blurred vision|bradycardia,Atropine,Parasympathomimetic toxin; namesake of muscarinic acetylcholine receptors
strychnine,Strychnine,Strychnos nux-vomica tree,plant,2.0,15,Violent convulsions|arched back (opisthotonus)|death by asphyxiation,Benzodiazepines for seizures; no specific antidote,Glycine receptor antagonist; formerly used as rat poison; extremely painful death
aconitine,Aconitine,Wolfsbane/Monkshood (Aconitum),plant,0.04,10,Numbness|arrhythmia|ventricular fibrillation|death,No specific antidote; amiodarone for arrhythmia,Ancient arrow poison; sodium channel activator; queen of poisons in ancient Rome
coniine,Coniine,Poison hemlock (Conium maculatum),plant,100,30,Ascending paralysis|respiratory failure|death with mind intact,No antidote; mechanical ventilation,Killed Socrates; nicotinic receptor antagonist; causes ascending paralysis
oleandrin,Oleandrin,Oleander (Nerium oleander),plant,0.3,120,Nausea|arrhythmia|heart block|cardiac arrest,Digoxin-specific antibody fragments (Digibind),Cardiac glycoside; all parts of plant toxic; smoke from burning is dangerous
